id,name,carbon/past,val,carbon/future,energy/past,energy/present,energy/future,intensity/past,intensity/present,intensity/future,location/continent/id,location/continent/value,location/country/id,location/country/value,lat,lon,location/state/id,location/state/value,location/zip,location/city/id,location/city/value,location/metroarea/id,location/metroarea/value,location/county/id,location/county/value,location/congdist/id,location/congdist/value
71040,COLSTRIP,17694000,14725000,14725000,15571000,13155000,13155000,1140,1120,1120,6255149,North America,6252001,United States,45.8831,-106.614,5667009,Montana,59323,,,,,5674707,Rosebud County,99993000,Dennis Rehberg
41741,SINGRAULI,15328000,14756000,14756000,12946000,15098000,15098000,1180,977,977,6255147,Asia,1269750,India,24.10444444,82.7075,1253626,Uttar Pradesh,231 2,,,,,,,,
20432,J M STUART,11729000,14863000,14863000,14686000,15324000,15324000,799,970,970,6255149,North America,6252001,United States,38.6361,-83.6939,5165418,Ohio,45101,,,,,4507215,Brown County,99993902,Jean Schmidt
9839,CUMBERLAND (3399),17609000,14915000,14915000,18417000,15873000,15873000,956,940,940,6255149,North America,6252001,United States,36.3903,-87.6539,4662168,Tennessee,37050,,,,,4660056,Stewart County,99994708,Stephen Fincher
26026,LOY YANG A,13264000,14938000,14938000,12308000,12999000,12999000,1080,1150,1150,6255151,Oceania,2077456,Australia,-38.25444444,146.5769444,2145234,Victoria,3844,,,,,,,,
37326,RIHAND,9577500,14944000,20288000,9785400,15643000,16401000,979,955,1240,6255147,Asia,1269750,India,24.0275,82.79111111,1253626,Uttar Pradesh,,,,,,,,,
38126,ROXBORO,14414000,15033000,15033000,14924000,15025000,15025000,966,1000,1000,6255149,North America,6252001,United States,36.4833,-79.0731,4482348,North Carolina,27573,,,99999450,"Raleigh-Durham-Cary, NC",4484671,Person County,99993713,Brad Miller
71039,JEFFREY ENERGY CENTER,15796000,15036000,15036000,13807000,12922000,12922000,1140,1160,1160,6255149,North America,6252001,United States,39.2825,-96.1153,4273857,Kansas,66536,,,,,4277604,Pottawatomie County,99992002,Lynn Jenkins
46619,TUOKETUO-1,14086000,15099000,15099000,15745000,15929000,15929000,895,948,948,6255147,Asia,1814991,China,40.19694444,111.3644444,2035607,Inner Mongolia,,,,,,,,,
50534,YANGCHENG,12060000,15107000,15107000,13814000,14685000,14685000,873,1030,1030,6255147,Asia,1814991,China,35.46972222,112.5780556,1795912,Shanxi Sheng,,,,,,,,,
5476,BOXBERG,15111000,15300000,13629000,18358000,16599000,13105000,823,922,1040,6255148,Europe,2921044,Germany,51.41885253,14.57435685,2842566,Saxony,,,,,,,,,
7886,CHANDRAPUR,17227000,15308000,20647000,15447000,13384000,17221000,1120,1140,1200,6255147,Asia,1269750,India,20.00666667,79.28916667,1264418,State of Mah��r��shtra,442 4,1274693,Chandrapur,,,,,,
20344,JIM BRIDGER,16038000,15817000,15817000,14771000,15188000,15188000,1090,1040,1040,6255149,North America,6252001,United States,41.7378,-108.7875,5843591,Wyoming,82942,,,,,5840426,Sweetwater County,99995600,Cynthia Lummis
13905,FOUR CORNERS,15427000,15851000,15851000,14987000,15640000,15640000,1030,1010,1010,6255149,North America,6252001,United States,36.69,-108.4814,5481136,New Mexico,87416,,,,,5489698,San Juan County,99993503,Ben Ray Lujan
30650,NAVAJO,17769000,16088000,16088000,17734000,16141000,16141000,1000,997,997,6255149,North America,6252001,United States,36.9047,-111.3886,5551752,Arizona,86040,,,,,5290307,Coconino County,99990401,Paul A. Gosar
22823,KORBA STPS,15211000,16172000,15191000,13418000,16838000,12574000,1130,960,1210,6255147,Asia,1269750,India,22.0833333,82.15,1444364,State of Chhatt��sgarh,495 4,1275637,Bil��spur,,,,,,
25221,LIGANG,8989700,16389000,16389000,9279100,17529000,17529000,969,935,935,6255147,Asia,1814991,China,31.93944444,120.0816667,1806260,Jiangsu Sheng,,1790923,Wuxi,,,,,,
41026,SHERBURNE COUNTY,16344000,16477000,16477000,15556000,15322000,15322000,1050,1080,1080,6255149,North America,6252001,United States,45.3792,-93.8958,5037779,Minnesota,55308,,,99999378,"Minneapolis-St. Paul-St. Cloud, MN-WI",5047121,Sherburne County,99992706,Michele Bachmann
5958,BRUCE MANSFIELD,18283000,16746000,16746000,18424000,17391000,17391000,992,963,963,6255149,North America,6252001,United States,40.6344,-80.42,6254927,Pennsylvania,15077,,,99999430,"Pittsburgh-New Castle, PA",5179454,Beaver County,99994204,Jason Altmire
43851,SURGUT-2,19506000,16890000,20658000,21877000,21393000,25356000,892,790,815,6255148,Europe,2017370,Russia,56.062608,78.718335,1496745,Novosibirskaya Oblast�۪,62840,,,,,,,,
26539,MAE MOH,15550000,16924000,16924000,14214000,13606000,13606000,1090,1240,1240,6255147,Asia,1605651,Thailand,18.275611,99.650445,1152472,Changwat Lampang,52220,,,,,,,,
23096,KRIEL,17284000,16961000,16961000,18334000,15907000,15907000,943,1070,1070,6255146,Africa,953987,South Africa,-26.25416667,29.17944444,1085594,Gauteng,,,,,,,,,
31278,NINGHAI,0,17264000,17264000,0,20984000,20984000,0,823,823,6255147,Asia,1814991,China,29.48777778,121.5094444,1784764,Zhejiang Sheng,,,,,,,,,
29270,MONTICELLO (6147),16109000,17448000,17448000,14048000,15178000,15178000,1150,1150,1150,6255149,North America,6252001,United States,33.0917,-95.0417,4736286,Texas,75455,,,,,4736982,Titus County,99994804,Ralph M. Hall
51215,YONGHUNGDO,8428400,17599000,33253000,10143000,24382000,36773000,831,722,904,6255147,Asia,1835841,South Korea,37.264444,126.469722,1843561,Incheon,,,,,,,,,
18676,HUANENG YUHUAN,0,17797000,17797000,0,19554000,19554000,0,910,910,6255147,Asia,1814991,China,28.11583333,121.1377778,1784764,Zhejiang Sheng,,,,,,,,,
31240,NIKOLA TESLA,22134000,18211000,21677000,16588000,16601000,20200000,1330,1100,1070,6255148,Europe,6290252,Serbia,44.65485587,20.2001667,,,,,,,,,,99997298,
23954,LABADIE,18576000,18350000,18350000,17933000,17238000,17238000,1040,1060,1060,6255149,North America,6252001,United States,38.5583,-90.8361,4398678,Missouri,63055,,,99999476,"St. Louis-St. Charles-Farmington, MO-IL",4387172,Franklin County,99992909,Blaine Luetkemeyer
37759,ROCKPORT (6166),16933000,18454000,18454000,17034000,18726000,18726000,994,985,985,6255149,North America,6252001,United States,37.9256,-87.0372,4921868,Indiana,47635,,,,,4265152,Spencer County,99991809,Todd Young
51316,ZOUXIAN,16449000,18527000,18527000,16028000,18931000,18931000,1030,979,979,6255147,Asia,1814991,China,35.32666667,116.9338889,1796328,Shandong Sheng,27352,1803834,Liaocheng,,,,,,
29100,MONROE (1733),15848000,18658000,18658000,16620000,19130000,19130000,954,975,975,6255149,North America,6252001,United States,41.8917,-83.3461,5001836,Michigan,48161,,,99999220,"Detroit-Warren-Flint, MI",5002348,Monroe County,99992615,John D. Dingell
17371,HEKINAN,17053000,18664000,18664000,24543000,24545000,24545000,695,760,760,6255147,Asia,1861060,Japan,34.8833333,136.9833333,1865694,Aichi-ken,447-0,1862912,Hekinan,,,,,,
14748,GENERAL JAMES M GAVIN,18513000,18798000,18798000,18625000,19160000,19160000,994,981,981,6255149,North America,6252001,United States,38.9347,-82.1158,5165418,Ohio,45620,,,,,4512438,Gallia County,99993906,Bill Johnson
15060,GIBSON,21157000,19101000,19101000,21340000,18902000,18902000,991,1010,1010,6255149,North America,6252001,United States,38.3722,-87.7661,4921868,Indiana,47665,,,,,4257948,Gibson County,99991808,Larry Bucshon
49187,WEISWEILER,9169700,19200000,19200000,7507300,19851000,19851000,1220,967,967,6255148,Europe,2921044,Germany,50.8331277,6.314631688,2861876,North Rhine-Westphalia,52249,2928963,Eschweiler,,,,,,
27383,MARTIN LAKE,20374000,19299000,19299000,17239000,17066000,17066000,1180,1130,1130,6255149,North America,6252001,United States,32.2597,-94.5703,4736286,Texas,75691,,,99999346,"Longview-Marshall, TX",4724363,Rusk County,99994801,Louie Gohmert
3667,BAYSWATER,19694000,19401000,19401000,16321000,17185000,17185000,1210,1130,1130,6255151,Oceania,2077456,Australia,-32.39583333,150.9491667,2155400,New South Wales,2333,,,,,,,,
36523,RAMAGUNDAM,15169000,19417000,19417000,13463000,20370000,20370000,1130,953,953,6255147,Asia,1269750,India,18.75861111,79.45472222,1278629,State of Andhra Pradesh,505 2,1267755,Kar��mnagar,,,,,,
43839,SURALAYA,19984000,19517000,19517000,19312000,16644000,16644000,1030,1170,1170,6255147,Asia,1643084,Indonesia,-5.891908333,106.0312,1923045,Provinsi Banten,42456,1627549,Serang,,,,,,
2702,AZ-ZOUR SOUTH,12340000,19575000,19755000,16161000,24447000,25793000,764,801,766,6255147,Asia,285570,Kuwait,29.4425,48.2747222,285788,Mu�����faz�at al ����ہ�imah,,,,,,,,,
12587,ERARING,19528000,19799000,19799000,16100000,17482000,17482000,1210,1130,1130,6255151,Oceania,2077456,Australia,-33.06222222,151.5202778,2155400,New South Wales,2264,,,,,,,,
48638,W A PARISH,20150000,20095000,20095000,19144000,18972000,18972000,1050,1060,1060,6255149,North America,6252001,United States,29.4828,-95.6311,4736286,Texas,77481,,,99999288,"Houston-Baytown-Huntsville, TX",4691851,Fort Bend County,99994822,Pete Olson
3846,BEILUN,18669000,20148000,20148000,19816000,22151000,22151000,942,910,910,6255147,Asia,1814991,China,29.94055556,121.8133333,1784764,Zhejiang Sheng,31580,1799397,Ningbo,,,,,,
46691,TUTUKA,17613000,20333000,20333000,17187000,19848000,19848000,1020,1020,1020,6255146,Africa,953987,South Africa,-26.77861111,29.35194444,1085595,Mpumalanga,2430,952747,Standerton,,,,,,
11290,DRAX,20500000,20500000,20500000,22343000,21870000,21870000,918,937,937,6255148,Europe,2635167,United Kingdom,53.73638889,-0.998055556,6269131,England,YO8 8,,,,,,,,
5461,BOWEN,19793000,20566000,20566000,20993000,21538000,21538000,943,955,955,6255149,North America,6252001,United States,34.1256,-84.9192,4197000,Georgia,30120,,,99999122,"Atlanta-Sandy Springs-Gainesville, GA-AL",4181218,Bartow County,99991311,Phil Gingrey
48705,WAIGAOQIAO,12900000,21161000,21161000,13953000,22526000,22526000,925,939,939,6255147,Asia,1814991,China,31.35583333,121.5972222,1796231,Shanghai Shi,20013,,,,,,,,
44357,TALCHER KANIHA,0,21227000,28070000,0,22398000,24246000,0,948,1160,6255147,Asia,1269750,India,21.09694444,85.075,1261029,State of Orissa,759 1,,,,,,,,
27549,MATLA,26241000,21531000,21531000,25848000,21955000,21955000,1020,981,981,6255146,Africa,953987,South Africa,-26.2825,29.14083333,1085595,Mpumalanga,2274,1019760,Bethal,,,,,,
11555,DUVHA,23395000,22026000,22026000,24872000,22581000,22581000,941,975,975,6255146,Africa,953987,South Africa,-25.96388889,29.33722222,1085595,Mpumalanga,1035,939270,Witbank,,,,,,
28493,JAMES H MILLER JR,19775000,22152000,22152000,19500000,20815000,20815000,1010,1060,1060,6255149,North America,6252001,United States,33.6319,-87.0597,4829764,Alabama,35073,,,99999142,"Birmingham-Hoover-Cullman, AL",4069696,Jefferson County,99990106,Spencer Bachus
31075,NEYVELI,19438000,23120000,31347000,14292000,15901000,23140000,1360,1450,1350,6255147,Asia,1269750,India,11.5333333,79.4833333,1255053,State of Tamil N��du,607 8,,,,,,,,
26695,MAJUBA,11714000,23412000,23412000,11340000,22340000,22340000,1030,1050,1050,6255146,Africa,953987,South Africa,-27.10055556,29.77138889,1085595,Mpumalanga,2470,,,,,,,,
20075,JANSCHWALDE,19625000,23600000,23600000,18323000,21150000,21150000,1070,1120,1120,6255148,Europe,2921044,Germany,51.83472222,14.46027778,2945356,Brandenburg,,,,,,,,,
40093,SCHERER,24313000,23861000,23861000,23261000,22978000,22978000,1050,1040,1040,6255149,North America,6252001,United States,33.0583,-83.8072,4197000,Georgia,31046,,,99999356,"Macon-Warner Robins-Fort Valley, GA",4209889,Monroe County,99991308,Austin Scott
25054,LETHABO,24217000,23989000,23989000,24717000,25523000,25523000,980,940,940,6255146,Africa,953987,South Africa,-26.74194444,27.9775,967573,Free State,9580,,,,,,,,
11977,EKIBASTUZ-1,21233000,24076000,24076000,16850000,18881000,18881000,1260,1280,1280,6255147,Asia,1522867,Kazakhstan,51.88666667,75.37527778,1520239,Pavlodar Oblysy,63871,1524325,Ekibastuz,,,,,,
39012,SAMCHONPO,24880000,24113000,24113000,21607000,22074000,22074000,1150,1090,1090,6255147,Asia,1835841,South Korea,34.91027778,128.1091667,1902028,South Gyeongsang,638-9,,,,,,,,
27542,MATIMBA,22703000,24182000,24182000,26883000,27964000,27964000,845,865,865,6255146,Africa,953987,South Africa,-23.66833333,27.61055556,1085597,Limpopo Province,555,,,,,,,,
21779,KENDAL,26153000,24652000,24652000,27001000,23307000,23307000,969,1060,1060,6255146,Africa,953987,South Africa,-26.09,28.97138889,1085595,Mpumalanga,1035,939270,Witbank,,,,,,
48330,VINDHYACHAL,16301000,24812000,32455000,14987000,25898000,26326000,1090,958,1230,6255147,Asia,1269750,India,24.09805556,82.67166667,1264542,State of Madhya Pradesh,486 8,1256369,Sidhi,,,,,,
26650,MAILIAO FP,14383000,25304000,25304000,21131000,29678000,29678000,681,853,853,6255147,Asia,1668284,Taiwan,23.749444,120.254722,7280291,Taiwan,,,,,,,,,
31142,NIEDERAUSSEM,17555000,26300000,18997000,17483000,27909000,19646000,1000,942,967,6255148,Europe,2921044,Germany,50.99555556,6.669166667,2861876,North Rhine-Westphalia,50129,2950438,Bergheim,,,,,,
16468,HADONG,16878000,28719000,28719000,19447000,28644000,28644000,868,1000,1000,6255147,Asia,1835841,South Korea,34.95055556,127.8219444,1902028,South Gyeongsang,,,,,,,,,
44498,DANGJIN,10625000,29046000,42580000,12839000,29385000,43522000,828,988,978,6255147,Asia,1835841,South Korea,36.8944444,126.6297222,1845105,South Chungcheong,,,,,,,,,
3873,BELCHATOW,31400000,29500000,26406000,27584000,25615000,24136000,1140,1150,1090,6255148,Europe,798544,Poland,51.26638889,19.33055556,3337493,���_d�� Voivodeship,97406,3103709,Be��chat�_w,,,,,,
44146,TAEAN,16797000,30347000,47189000,19508000,29231000,43999000,861,1040,1070,6255147,Asia,1835841,South Korea,36.75639,126.29778,1845105,South Chungcheong,357-9,,,,,,,,
35511,PORYONG,25696000,32823000,32823000,29091000,35998000,35998000,883,912,912,6255147,Asia,1835841,South Korea,36.40166667,126.4916667,1845105,South Chungcheong,355-8,,,,,,,,
44204,TAICHUNG,31503000,36336000,50237000,32197000,39009000,47502000,978,931,1060,6255147,Asia,1668284,Taiwan,24.21277778,120.4811111,7280291,Taiwan,,,,,,,,,
