id,name,val,lat,lon
48628,VUOSAARI,1650000,60.219763,25.169184
4833,BLACK DOG,1650600,44.8108,-93.2501
28408,MIIKE,1651500,33.0333333,130.45
45169,THA TOOM,1652000,13.965972,101.513028
30484,NARCEA,1656400,43.337651,-6.414516
37932,ROOIWAL,1657700,-25.74485858,28.18782806
37336,RIJNMOND ENERGIE,1660000,51.89759,4.2766
15521,GORKY MOTOR WORKS,1660700,56.32867332,44.00204659
58461,DONGTANG PLANT,1662700,23.0488889,113.7447222
27096,MAOMING REFINERY,1662800,21.65,110.9
47353,UST-KAMENOGOR TETS,1665400,49.978889,82.610278
1126,ALTAMIRA,1667300,22.4,-97.9166667
23496,KWANGYANG-2,1668500,34.9752778,127.5891667
72249,FPL ENERGY MARCUS HOOK LP,1669800,39.8083,-75.4225
14432,GACKO,1670100,43.1672222,18.5352778
39205,SAN ISIDRO,1671400,-32.8833333,-71.2666667
8700,CILEGON PLN,1671500,-6.031667,106.202778
65488,HEBIN,1673100,39.2333333,106.7694444
55387,SONGZAO,1674000,29.0652778,105.8863889
8336,CHIFENG MEIGANSHI,1676100,42.268333,118.963611
46885,UGLJEVIK,1677400,44.6672222,19.0119444
46784,TYUMEN-1,1678100,57.152222,65.527222
13152,FARGE 301,1680000,53.20206653,8.516153926
17218,HAYS ENERGY PROJECT,1682000,29.7806,-97.9894
46877,UFA-2,1683100,54.785167,56.045621
34371,PETROPAVLOVSK-2,1683500,54.8752778,69.1627778
46127,TRACY,1683600,39.5625,-119.525
35364,PORT EVERGLADES,1685500,26.0856,-80.1253
6180,BUKIT ASAM,1688400,-3.2333333,106.0833333
38509,SADAF COGEN,1689700,27.011222,49.658255
15740,GRANITE RIDGE,1690700,42.9043,-71.4251
11533,DURNROHR,1692400,48.34529728,15.91026306
2864,BAGUANHE WASHERY,1696100,26.547902,101.705386
13209,F B CULLEY,1697000,37.91,-87.3267
52129,SHENHUA YANGGUANG,1698500,39.950075,113.956632
28809,MIZUSHIMA,1699300,34.5333333,133.7333333
33873,PATRATU,1699800,23.6666667,85.2833333
21091,KANAWHA RIVER,1700300,38.2056,-81.4211
20544,JOSE BATTLE Y ORDONEZ,1701200,-34.83346154,-56.16734505
